"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"Security","E-100","Login failure.","The login attempt failed, e.g. invalid username or password."
"Multiple","E-100000001","Invalid Check Number. This entry must be numeric and cannot exceed 15 digits.","User attempts to specify the length of Check Number that is greater than 15 digits"
,"E-100000003","Your organization is not configured to access the specified TRN or Institution ID.","User/Member attempts to perform an action on TRN/Institution ID and they don't have work access on it."
"Multiple","E-100000004","Invalid Date format(YYYY-MM-DD).",
"TI","E-100000005","At least one transaction type must be specified (Sales, Auth, Credits).","When submitting a RFI request, one or more of these elements must be included and set to 'true':  AuthorizationsInd, SalesInd, CreditsInd"
"TI","E-100000007","Invalid Date.  It cannot be a future date and not more than 2 years before today.","CreditSearchFromDate and/or CreditSearchToDate was either a future date, or was more than 2 years prior to the current date.  Please correct and resubmit."
"Multiple","E-100000010","PAN-less transaction is not supported for selected network","User attempts to dispute a PAN-less transaction with network id other than 0002, VSC, PPC"
"TI","E-100000011","The credit date range cannot exceed 60 days.","Member specified a CreditSearchToDate that was more than 60 days from the CreditSearchFromDate.  Please correct and resubmit."
"Multiple","E-100000013","User does not have work access for this Transit Routing Number","User/Member attempts to submit a transaction where they don't have work-access on a TRN/BIN"
"Questionnaire - Chargeback","E-100000014","Either Transaction ID or ARN needs to be provided.","User attempts to perform a CB, RFC or Fraud QF and does not provide either Transaction id and ARN field value."
"TI","E-100000017","Credit Search FromDate must be before ToDate",
"Multiple","E-100000023","Invalid Consumer Account Number.  This entry must be alphanumeric and should not exceed 19 characters.","User attempts to dispute a POS Check transaction on a Visa network (0002 or VSC) with a Consumer Account Number greater than 19 characters or which is not an alphanumeric value."
"Multiple","E-100000024","Member is not authorized/configured to submit POS Check or Other PAN-less transactions.","Members attempts to submit a POS Check/Other PANLess transaction and the Member institution is not configured for processing POS Check/Other PAN-Less transactions."
"Multiple","E-100000027","TRN in <Element> does not match TRN in QuickFormTxnInfo.","BulkSI/RTSI user provides TRN in both Quick Form Information and Transaction sections and they do not match

Note: Element in err message verbiage can be FraudReport, Chargeback, AdjustmentData, RequestForCopy"
"Multiple","E-100000028","ARN in <Element> does not match ARN in QuickFormTxnInfo.","BulkSI/RTSI user provides ARN in both Quick Form Information and Transaction sections and they do not match

Note: Element in err message verbiage can be FraudReport, Chargeback, RequestForCopy"
"Multiple","E-100000029","TransactionID in <Element> does not match TransactionID in QuickFormTxnInfo.","BulkSI/RTSI user provides TranId in both Quick Form Information and Transaction sections and they do not match

Note: Element in err message verbiage can be FraudReport, Chargeback, AdjustmentData, RequestForCopy"
"Multiple","E-100000030","ConsumerAccountNumber in <Element> does not match ConsumerAccountNumber in QuickFormTxnInfo.","BulkSI/RTSI user provides CAN in both Quick Form Information and Transaction sections and they do not match

Note: Element in err message verbiage can be FraudReport, Chargeback, AdjustmentData, RequestForCopy"
"Multiple","E-100000031","AccountNumber in <Element> does not match AccountNumber in QuickFormTxnInfo.","BulkSI/RTSI user provides PAN in both Quick Form Information and Transaction sections and they do not match

Note: Element in err message verbiage can be FraudReport, Chargeback, AdjustmentData, RequestForCopy"
"Multiple","E-100000032","<Action> is not supported for <track> Quickform.","User attempts to Submit For Review/Pend a RFC, Fraud and Adjustment QuickForms through SI interface."
"TI","E-100010003","VROL timed out while processing your Transaction Inquiry request. Please modify your TI Request parameters and/or try again later. If you continue to experience timeout problems, please contact <regional contact info>","VROL timed out when a BIN, Extended BIN or Terminal ID search was performed by CDI"
"TI","E-100010010","No Transaction Details found. If the problem persists, please contact $ContactInfo$","SI user requests Transaction Summary/Details AND VCTR search executed but no results found. Either Transaction Date or CPD of selected transaction is not today or yesterday:"
"TI","E-100010011","No Transaction Details found. If you are looking for transaction detail for transactions within the last 3 days, the data may not be available to VROL yet. If the problem persists, please contact $ContactInfo$","SI user requests Transaction Summary/Details AND VCTR search executed but no results found. Either Transaction Date or CPD of selected transaction is today or yesterday:"
"TI","E-100010012","Unable to retrieve transaction records. If the problem persists, please contact $ContactInfo$","SI user requests View Transaction Summary/Details AND there is no response from ODS or VCTR (connection broken)"
"TI","E-100010014","Incomplete Transaction Details found. If the problem persists, please contact $ContactInfo$.","VROL detects that only a partial copy of the transaction details are copied during case creation from a TI response."
